objectid;globalid;uniquerowid;entrevista;senha;data;setor;x;y;endereco;comunidade;referencia;obs;status_ent;ausente;flag_nis;nis;flag_bf;flag_cfc;flag_bpc;flag_outro;qual_outro;preoc_alim;flag_mi;idade_mi;numero_fam;paredes;piso;flag_chuv;flag_vaso;flag_pia;agua;esgoto;comodos;flag_fogao;flag_filt;flag_gel;ipma1;ipma2;ipma3;ipmb4;ipmb5;ipmc6;ipmc7;ipmc8;ipmc9;ipmc10;ipmc11;ipm;risco_ipm;created_date;created_user;last_edited_date;last_edited_user;x1;y1
1;{92B284D8-D0AC-4D3A-8899-45450698EF3F};{AFA4165C-D678-4C5F-B475-EAD075BCE267};1;1;16/10/2018 15:25:00;320143;-43,181807599999999;-22,930785799999999;R. Gago Coutinho, 52;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000000000000000;Risco 1;16/10/2018 15:25:00;usuarioTS;16/10/2018 15:25:00;usuarioTS;-43,181807600000013;-22,930785800000024
2;{2F1CAB77-6EEB-4A87-B318-18917F09A882};{3A8F5505-07E1-41C1-9C15-7A9904E7594D};1;1;16/10/2018 15:51:00;320143;-43,181070669999997;-22,931066009999999;Teste;;;;2;;2;;0;0;0;0;;0;1;4;1;1;1;1;1;0;0;0;2;1;0;0;0,148148150000000;0,148148150000000;0,000000000000000;0,166666670000000;0,000000000000000;0,000000000000000;0,000000000000000;0,055555560000000;0,055555560000000;0,000000000000000;0,055555560000000;0,629629630000000;Risco 3;16/10/2018 15:55:00;usuarioTS;16/10/2018 15:55:00;usuarioTS;-43,181070671999976;-22,931066007000027
3;{D6A00017-269E-4F94-A9DE-EA15D27635AD};{C6022E21-D312-4C17-8406-B8753CE3AE1F};1;1;16/10/2018 15:56:00;320143;-43,180850599999999;-22,931041480000001;Teste;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000000000000000;Risco 1;16/10/2018 15:56:00;usuarioTS;16/10/2018 15:56:00;usuarioTS;-43,180850602000021;-22,931041481000022
4;{02F591D1-398D-4DCE-B619-0181E781A5CA};{5DCB4C52-B2EC-45C7-924E-DC2E1966833E};1;1;16/10/2018 15:59:00;320143;-43,180932200000001;-22,930855860000001;Teste;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000000000000000;Risco 1;16/10/2018 16:01:00;usuarioTS;16/10/2018 16:01:00;usuarioTS;-43,180932198999983;-22,930855859000019
6;{59D1981A-A1F8-4083-8881-2410645639FB};{5C86AFBE-9DA6-4C18-92DF-67D2DDEC582C};1;1;16/10/2018 16:09:00;320143;-43,181241839999998;-22,930831829999999;Teste;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000000000000000;Risco 1;16/10/2018 16:11:00;usuarioTS;16/10/2018 16:11:00;usuarioTS;-43,181241839999984;-22,930831833000013
7;{B97B0F5D-85B7-4BE3-B0B7-992B06D903FB};{E0D2CC06-054E-4678-B241-4B3EBBA5CE50};1;1;16/10/2018 16:11:00;320143;-43,180983130000001;-22,930654340000000;Teste;;;;2;;0;;0;0;0;0;;1;0;;1;1;1;1;1;1;0;0;1;1;0;0;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,166666670000000;0,000000000000000;0,000000000000000;0,055555560000000;0,055555560000000;0,000000000000000;0,055555560000000;0,333333330000000;Risco 2;16/10/2018 16:21:00;usuarioTS;16/10/2018 16:21:00;usuarioTS;-43,180983130000016;-22,930654339000000
8;{234D66D9-5888-424D-97F3-B2300DA8C4E1};{D6488BD7-2706-4963-91A4-31291BE9D644};1;1;16/10/2018 16:22:00;320143;-43,181180470000001;-22,930252010000000;Teste;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000000000000000;Risco 1;16/10/2018 16:22:00;usuarioTS;16/10/2018 16:22:00;usuarioTS;-43,181180469000026;-22,930252012999972
5;{E25858C2-BECD-476D-A581-1E10960DA5CB};{FABDEEE4-7188-4D1A-B596-7431C6BB459C};1;1;16/10/2018 16:02:00;320143;-43,471949000000002;-22,925526999999999;Teste;;;;2;;0;;1;0;0;0;;1;0;;2;0;0;1;1;1;0;0;2;0;0;1;0,148148150000000;0,148148150000000;0,037037040000000;0,000000000000000;0,166666670000000;0,055555560000000;0,000000000000000;0,055555560000000;0,055555560000000;0,055555560000000;0,055555560000000;0,777777780000000;Risco 3;16/10/2018 16:07:00;usuarioTS;16/10/2018 16:23:00;usuarioTS;-43,181204440999977;-22,930074013000024
9;{0860908A-5655-4EC2-8AF1-71511DE39239};{A4FECD91-7640-4A70-A836-A034F8A8F4AB};1;1;16/10/2018 16:24:00;320143;-43,181549120000000;-22,930316430000001;Teste;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000000000000000;Risco 1;16/10/2018 16:24:00;usuarioTS;16/10/2018 16:24:00;usuarioTS;-43,181549115999985;-22,930316432999973
10;{EAE84B7D-9FB4-4A64-AF62-6DBB41E9A64A};{DB177F34-F9B6-40E6-AB35-C16CFE87B53E};1;1;16/10/2018 16:25:00;320143;-43,181273939999997;-22,929861850000002;Teste;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000000000000000;Risco 1;16/10/2018 16:26:00;usuarioTS;16/10/2018 16:26:00;usuarioTS;-43,181273936000025;-22,929861854000023
